E176  (8.83%)
     1.000000    0.000000
     0.990176   -0.000997
     0.969999   -0.003428
     0.947643   -0.006365
     0.925058   -0.009478
     0.902332   -0.012691
     0.879628   -0.015970
     0.856905   -0.019311
     0.834153   -0.022700
     0.811397   -0.026126
     0.788621   -0.029581
     0.765817   -0.033047
     0.743002   -0.036510
     0.720207   -0.039961
     0.697450   -0.043385
     0.674723   -0.046765
     0.652003   -0.050089
     0.629288   -0.053352
     0.606610   -0.056533
     0.583999   -0.059592
     0.561474   -0.062491
     0.539021   -0.065184
     0.516599   -0.067639
     0.494173   -0.069841
     0.471759   -0.071776
     0.449387   -0.073418
     0.427049   -0.074739
     0.404721   -0.075724
     0.382412   -0.076360
     0.360147   -0.076629
     0.337924   -0.076508
     0.315709   -0.075991
     0.293479   -0.075082
     0.271233   -0.073791
     0.249007   -0.072129
     0.226852   -0.070093
     0.204789   -0.067665
     0.182829   -0.064823
     0.161024   -0.061545
     0.139427   -0.057792
     0.118099   -0.053507
     0.097225   -0.048643
     0.076811   -0.043089
     0.057182   -0.036768
     0.039471   -0.029873
     0.023444   -0.022064
     0.013756   -0.016031
     0.006771   -0.010222
     0.002723   -0.006094
     0.000799   -0.003410
     0.000100   -0.001048
     0.000450    0.001408
     0.001869    0.003935
     0.004761    0.006149
     0.010273    0.008094
     0.020241    0.010710
     0.034219    0.013012
     0.053946    0.014809
     0.075285    0.015916
     0.097164    0.016464
     0.119723    0.016657
     0.142293    0.016581
     0.165012    0.016312
     0.187870    0.015908
     0.210759    0.015400
     0.233682    0.014810
     0.256653    0.014162
     0.279653    0.013472
     0.302664    0.012750
     0.325693    0.012004
     0.348746    0.011247
     0.371808    0.010489
     0.394869    0.009732
     0.417928    0.008976
     0.440965    0.008228
     0.463987    0.007498
     0.487014    0.006790
     0.510052    0.006098
     0.533088    0.005421
     0.556108    0.004766
     0.579116    0.004139
     0.602125    0.003541
     0.625139    0.002972
     0.648152    0.002432
     0.671156    0.001924
     0.694151    0.001452
     0.717143    0.001018
     0.740135    0.000625
     0.763129    0.000273
     0.786117   -0.000038
     0.809090   -0.000303
     0.832056   -0.000515
     0.855021   -0.000672
     0.877973   -0.000772
     0.900905   -0.000805
     0.923840   -0.000769
     0.946776   -0.000670
     0.969514   -0.000517
     0.990122   -0.000269
     1.000000   -0.000000
